,Dataset: KELLEY-1977,,,,,,,
,Data From (Title): Quality-Quantity Tradeoffs: A Historical,,,,,,,
,,Analysis of Air Combat. ,,,,,,
,"Author: Kelley, C.T., et al.",,,,,,,
,Organization: The RAND Corporation.,,,,,,,
,"Address: Santa Monica, CA.",,,,,,,
,Publication Date: April 1977.,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,
,Source Available From: DTIC as AD-C010 504.,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,
,Spreadsheet last revised: 30 October 1993,,,,,,,
-,-,-,-,-,-,-,-,-
,,,,,,,,
,"Korean Combat Data, Based on Fifth Air Force Intelligence Summaries.",,,,,,,
,,,,,,,,
-,-,-,-,-,-,,,
,,No. of Aircraft,,Aircraft Losses,,,,
No.,Date,US,NK,US,NK,,,
-,-,-,-,-,-,,,
235,10/07/1952,4,5,0,0,,,
236,10/08/1952,4,8,0,0,,,
237,10/09/1952,6,7,0,0,,,
238,10/09/1952,31,26,0,3.5,,,
239,10/11/1952,18,35,0,5,,,
240,10/11/1952,10,10,1,1,,,
241,10/12/1952,27,55,0,4,,,
242,10/12/1952,4,14,0.5,1,,,
243,10/13/1952,8,4,0,0,,,
244,10/17/1952,6,24,0,0,,,
245,10/17/1952,6,15,0,0,,,
246,10/18/1952,6,16,1,2,,,
247,10/19/1952,2,3,0,0,,,
248,10/22/1952,16,16,0,1.5,,,
249,10/23/1952,16,22,0,1.5,,,
250,10/23/1952,4,4,0,0.5,,,
251,10/24/1952,4,8,0,0,,,
252,10/25/1952,4,4,0,2,,,
253,10/25/1952,2,2,0,0,,,
254,10/25/1952,4,8,0,0.5,,,
255,10/26/1952,14,21,0,2,,,
256,11/01/1952,10,9,0,1,,,
257,11/02/1952,16,15,0,2.5,,,
258,11/05/1952,4,16,0,0,,,
259,11/06/1952,32,42,0,4,,,
260,11/06/1952,14,12,0,0,,,
261,11/13/1952,4,4,0,0,,,
262,11/15/1952,8,7,0,1,,,
263,11/17/1952,6,8,0,0,,,
264,11/17/1952,18,23,0,6,,,
265,11/18/1952,4,5,0,0,,,
266,11/18/1952,26,47,0.5,1.5,,,
267,11/19/1952,4,10,0,0,,,
268,11/19/1952,10,18,0,0.5,,,
269,11/20/1952,10,13,0,0.5,,,
270,11/20/1952,19,17,0.5,5,,,
271,11/21/1952,2,6,0,0,,,
272,11/21/1952,18,25,0,0,,,
273,11/21/1952,33,32,2.5,3,,,
274,11/22/1952,2,1,0,0.5,,,
275,11/22/1952,30,33,2,1.5,,,
276,11/23/1952,2,2,0.5,1,,,
277,11/25/1952,2,5,0,0,,,
278,11/26/1952,2,12,0,0,,,
279,11/28/1952,6,4,0,0.5,,,
280,11/29/1952,6,4,0,0,,,
281,12/16/1952,9,13,0,1,,,
282,12/16/1952,28,24,0,4,,,
283,12/17/1952,13,13,0.5,2,,,
284,12/17/1952,2,8,0,0.5,,,
285,12/17/1952,7,10,0,1.5,,,
286,12/18/1952,5,7,0,0,,,
287,12/18/1952,8,6,0,2,,,
288,12/19/1952,8,8,0,0.5,,,
289,12/21/1952,2,4,0,0,,,
290,12/22/1952,10,24,1,1,,,
291,12/22/1952,8,8,0,2,,,
292,12/23/1952,8,12,0,1,,,
293,12/24/1952,38,52,0,6.5,,,
294,12/25/1952,14,22,0.5,0.5,,,
295,12/25/1952,8,12,0,1,,,
296,12/25/1952,10,33,0,0,,,
297,12/26/1952,20,16,0,0,,,
298,12/28/1952,12,17,0,2,,,
299,12/28/1952,17,15,0.5,1,,,
300,07/11/1953,2,2,0,2,,,
301,07/12/1953,10,38,0,5,,,
302,07/12/1953,8,6,0,3,,,
303,07/15/1953,24,38,1,3.5,,,
304,07/16/1953,10,11,0,2,,,
305,07/16/1953,16,19,0.5,3.5,,,
306,07/17/1953,10,5,0,1,,,
307,07/18/1953,4,6,0,2,,,
308,07/18/1953,1,1,0,0,,,
309,07/19/1953,19,24,0,6.5,,,
310,07/19/1953,1,20,0,3,,,
311,07/19/1953,4,6,0,1,,,
312,07/19/1953,4,3,0,2,,,
313,07/20/1953,1,1,0,0,,,
314,07/20/1953,7,18,2,2,,,
315,07/22/1953,4,4,0,3,,,
-,-,-,-,-,-,,,
,,,,,,,,
,"Southeast Asia Combat Data, based on ""Project Red Baron--",,,,,,,
,,"Air-to-Air Encounters in Southeast Asia,""",,,,,,
,,USAF Tactical Fighter Weapons Center,,,,,,
,,,,,,,,
-,-,-,-,-,-,-,,
,   Aircraft Type,,     Aircraft Number,,        Losses,,,
No.,US ,NVN,US,NVN,US,NVN,,
-,-,-,-,-,-,-,,
1,F4C,MIG21,2,1,0,0,,
2,F4C,MIG21,2,2,0,0,,
3,F4C,MIG21,2,2,0,0,,
4,F4C,MIG21,2,3,0,1,,
5,F4C,MIG21,2,2,0,1,,
6,F4C,MIG21,2,1,0,1,,
7,F4C,MIG21,3,2,0,0,,
8,F4C,MIG21,4,2,0,2,,
9,F4C,MIG21,4,7,0,3,,
10,F4C,MIG21,4,5,0,1,,
11,F4C,MIG21,4,6,0,3,,
12,F4C,MIG21,2,4,0,2,,
13,F4C,MIG21,4,4,0,2,,
14,F4C,MIG21,4,2,0,2,,
15,F4C,MIG21,2,2,0,0.5,,
16,F4B,MIG21,2,2,0,2,,
17,F4B,MIG21,1,3,0,0,,
18,F4D,MIG21,2,1,1,0,,
19,F4C,MIG21,4,1,0.5,0,,
20,F4C,MIG21,2,1,0,0,,
21,F4D,MIG21,4,2,0,1,,
22,F4B,MIG21,2,1,0,1,,
23,F4B,MIG21,2,1,0,0,,
24,F4D,MIG21,2,2,1,0,,
25,F4D,MIG21,4,2,0,0,,
26,F4D,MIG21,2,2,0,0,,
27,F4D,MIG21,4,2,0,0,,
28,F4D,MIG21,8,2,0,0,,
29,F4D,MIG21,4,2,0,0,,
30,F4D,MIG21,4,2,0,0,,
31,F4D,MIG21,4,1,0,0,,
32,F4D,MIG21,2,1,1,0,,
33,F4D,MIG21,4,2,0,0,,
34,F4D,MIG21,2,1,0,0,,
35,F4B,MIG21,2,1,0,0,,
36,F4D,MIG21,4,1,0,0,,
37,F4D,MIG21,2,1,0,0.25,,
38,F4D,MIG21,2,1,0,0,,
39,F4D,MIG21,2,1,0,0,,
40,F4D,MIG21,4,2,0,0,,
41,F4D,MIG21,4,1,0,0,,
42,F4D,MIG21,4,2,0,0,,
43,F4D,MIG21,4,2,0,0.5,,
44,F4D,MIG21,4,2,0,0,,
45,F4B,MIG21,2,2,0,0,,
46,F4D,MIG21,4,1,0,0,,
47,F4D,MIG21,4,3,0,0,,
48,F4D,MIG21,4,1,0,1,,
49,F4D,MIG21,4,1,0,1,,
50,F4D,MIG21,4,2,0,0,,
51,F4D,MIG21,4,2,0,0,,
52,F4D,MIG21,4,2,0,0,,
53,F4B,MIG21,2,2,0,0,,
54,F4D,MIG21,4,2,0,0,,
55,F4D,MIG21,4,2,0,1,,
56,F4D,MIG21,4,2,0,0,,
57,F4D,MIG21,4,1,1,0,,
58,F4D,MIG21,4,2,0,0,,
59,F4D,MIG21,4,2,0,0.5,,
60,F4D,MIG21,4,2,0,0,,
61,F4B,MIG21,2,3,0,0.83,,
62,F4J,MIG21,2,2,1,0,,
63,F4B,MIG21,4,2,0,0,,
64,F4B,MIG21,4,3,0,0,,
65,F4J,MIG21,2,4,0,1,,
66,F4B,MIG21,2,2,1,0,,
67,F4B,MIG21,2,3,0,0,,
68,F4D,MIG21,2,1,0,0,,
