,Dataset: Berndt-1993,,,,,,,,,,,,,,,,
,Data From (Title): Die Zahl im Kriege: Statistiche,,,,,,,,,,,,,,,,
,,Daten aus der Neuren Kriegsgeschichte in Graphischer,,,,,,,,,,,,,,,
,,Darstellung.,,,,,,,,,,,,,,,
,"Author: Berndt, Otto.",,,,,,,,,,,,,,,,
,"Organization: G. Freytag & Berndt, publishers.",,,,,,,,,,,,,,,,
,"Address: Vienna, Austria.",,,,,,,,,,,,,,,,
,Publication Date: 1897.,,,,,,,,,,,,,,,,
,Classification: UNCLASSIFIED.,,,,,,,,,,,,,,,,
,Source Available From: Libraries.,,,,,,,,,,,,,,,,
,"Prepared By: Dr. Robert L. Helmbold, US Army Concepts Analysis Agency",,,,,,,,,,,,,,,,
,Spreadsheet Last Revised: 30 October 1993,,,,,,,,,,,,,,,,
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,Initial,Initial,Victor,,,Loser,,,,,
,,,,,,,Victor,Loser,Bloody,Victor,Victor,Bloody,Loser,Loser,Battle,Winner,Loser
Seq.,Battle,Start,Start,Start ,Victor,Loser,Strength,Strength,Losses,CMIA,Total,Losses,CMIA,Total,Duration,Bloody,Bloody
No.,Name,Year,Month,Day,ID,ID,(V0),(L0),Cv,Losses,Losses,Cl,Losses,Losses,(Hours),Fraction,Fraction
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Duppler-Schanzen,1864,4,18,Prussia,Denmark,25000,18000,1200,??,#VALUE!,1210,3600,4810,3.5,0.048,0.0672222222222222
56,Custozza,1866,6,24,Austria,Italy,74000,89000,6150,1800,7950,3400,4100,7500,9,0.0831081081081081,0.0382022471910112
57,Langensalza,1866,6,27,Hannover,Prussia,16180,8640,??,??,1430,810,940,1750,??,#VALUE!,0.09375
58,Nachod,1866,6,27,Prussia,Austria,24000,31000,1108,14,1122,3646,2073,5719,6,0.0461666666666667,0.117612903225806
59,Trautenau,1866,6,27,Austria,Prussia,26900,32000,3611,1176,4787,1252,86,1338,13,0.134237918215613,0.039125
60,Skalitz,1866,6,28,Prussia,Austria,30000,22300,1356,13,1369,3290,2287,5577,4,0.0452,0.147533632286996
61,Jicin,1866,6,29,Prussia,Austria,28000,44000,1556,0,1556,2970,2520,5490,8,0.0555714285714286,0.0675
62,Koenniggratz,1866,7,3,Prussia,Austria,220982,215134,8894,278,9172,23598,20715,44313,8,0.0402476219782607,0.109689774745043
63,Stresetitz,1866,7,3,Prussia,Austria,4500,5700,440,??,#VALUE!,850,320,1170,??,0.0977777777777778,0.149122807017544
64,Worth,1870,8,6,Germany,France,82100,48500,9270,1370,10640,8000,12100,20100,8.5,0.112911084043849,0.164948453608247
65,Spichern,1870,8,6,Germany,France,34700,27600,4500,370,4870,1980,2100,4080,8.5,0.129682997118156,0.0717391304347826
