"seqno","page","item","type","battle_name",,,,,,,"duration","winner_a","winner_b","loser_a","loser_b","winner_personnel","winner_main_ships","winner_other_ships","winner_cannon","loser_personnel","loser_main_ships","loser_other_ships","loser_cannon","winner_dead","winner_wounded","winner_bloody","winner_miapow","winner_losses","winner_main_ship_losses","winner_other_ship_loses","winner_cannon_losses","loser_dead","loser_wounded","loser_bloody","loser_miapow","loser_losses","loser_main_ship_losses","loser_other_ship_loses","loser_cannon_losses","winne_loss_fraction","loser_loss_fraction","winner_tbc_fraction","loser_tbc_fraction"
88,266,3,"Seeschlacht","Wiborg",1790,7,3,1790,7,3,1,"Russia",,"Sweden",,26000,30,208,4000,20000,19,296,3000,,,1000,0,1000,0,0,0,,,3000,4000,7000,7,16,650,0.0384615385,0.15,0.0384615385,0.35
89,267,1,"Seeschlacht","Svenskasund",1790,7,9,1790,7,9,1,"Sweden",,"Russia",,14000,5,140,1124,18000,8,140,1412,,,1000,0,1000,1,3,50,,,8000,6000,14000,5,47,643,0.0714285714,0.4444444444,0.0714285714,0.7777777778
90,302,3,"Seetreffen","Genua",1795,3,14,1795,3,14,1,"England",,"France",,9000,13,9,1276,7000,15,0,1174,,,400,,,1,,74,,,600,1000,1600,2,0,154,0.0444444444,0.0857142857,,0.2285714286
91,303,2,"Seeschlacht","Groix (Quiberon, Lorient)",1795,6,23,1795,6,23,1,"England",,"France",,9000,14,8,1538,9000,12,11,1400,,,200,,,0,0,0,,,700,1300,2000,3,,222,0.0222222222,0.0777777778,,0.2222222222
92,320,1,"Seeschlacht","Kap Sao Vicente",1797,2,14,1797,2,14,1,"England",,"Spain",,9000,15,7,1422,15000,26,13,2610,,,500,,,0,0,0,,,1500,2000,3500,4,,384,0.0555555556,0.1,,0.2333333333
93,322,2,"Seeschlacht","Kamperduin",1797,10,11,1797,10,11,1,"England",,"Holland",,9400,16,8,1198,10600,16,10,1268,200,800,1000,0,1000,0,0,0,540,660,1200,4800,6000,9,2,668,0.1063829787,0.1132075472,0.1063829787,0.5660377358
94,324,2,"Seeschlacht","Abukir",1798,8,1,1798,8,1,1,"England",,"France",,8000,14,1,1028,9000,13,4,1200,220,680,900,0,900,0,0,0,2000,1100,3100,3900,7000,11,2,942,0.1125,0.3444444444,0.1125,0.7777777778
95,325,4,"Seetreffen","Tory Island",1798,10,12,1798,10,12,1,"England",,"France",,3000,3,5,434,4000,1,9,410,,,200,0,200,0,0,0,,,800,2500,3300,1,5,258,0.0666666667,0.2,0.0666666667,0.825
96,360,2,"Seeschlacht","Kopenhagen",1801,4,2,1801,4,2,1,"England",,"Denmark",,8000,12,18,1186,6000,11,26,1044,,,1200,0,1200,0,0,0,,,1800,3000,4800,7,8,578,0.15,0.3,0.15,0.8
97,361,2,"Seetreffen","Algeciras",1801,7,6,1801,7,6,1,"France",,"Spain","England",2000,3,6,284,3000,6,0,450,,,600,0,600,,5,50,,,400,600,1000,1,0,74,0.3,0.1333333333,0.3,0.3333333333
